text,language
Nahitaji msaada wako boss,Swahili
Ninakupenda sana,Swahili
man Niko soko leo boss,Swahili
bro He is my friend,English
hey Tutakutana kesho,Swahili
hey He is my friend boss,English
bro Ndi khwitsa eshikulu,Luhya
man Khukhala bulayi,Luhya
bro Wacha tuende base,Sheng
hey Nakhubona khulayi,Luhya
hey Wabula shani man,Luhya
Leo ni siku nzuri,Swahili
hey I am going home man,English
hey The weather is nice today,English
Ninakupenda sana man,Swahili
man Niko rada leo,Sheng
Uko aje buda bro,Sheng
bro Khukhala bulayi man,Luhya
Wabula shani man,Luhya
bro Khukhala bulayi,Luhya
man Niko rada leo,Sheng
bro Wabula shani,Luhya
yo Uko aje buda boss,Sheng
man Naenda nyumbani bro,Swahili
hey Nimechill na boys,Sheng
He is my friend man,English
Naenda nyumbani,Swahili
bro I am going home bro,English
Hii manzi ni fiti bro,Sheng
man I love programming,English
hey Uko aje buda bro,Sheng
hey Hii life ni tricky,Sheng
bro Tuko street vibaya,Sheng
Uko aje buda boss,Sheng
yo Niko rada leo,Sheng
Let us meet tomorrow bro,English
yo He is my friend man,English
hey Let us meet tomorrow man,English
yo She likes reading books,English
yo I am going home bro,English
Basi manze relax boss,Sheng
Khukhala bulayi,Luhya
Olaba otya,Luhya
Ndi khwitsa eshikulu man,Luhya
yo Niko rada leo boss,Sheng
bro Habari yako rafiki bro,Swahili
bro Hii life ni tricky,Sheng
Habari yako rafiki,Swahili
man Nimechoka leo bro,Swahili
hey The weather is nice today bro,English
Niko rada leo,Sheng
bro Nahitaji msaada wako boss,Swahili
man Olaba otya bro,Luhya
She likes reading books,English
yo Leo ni siku nzuri bro,Swahili
Leo ni siku nzuri bro,Swahili
yo Nahitaji msaada wako,Swahili
yo Wacha tuende base bro,Sheng
yo Ndi khwitsa eshikulu bro,Luhya
bro Niko soko leo man,Swahili
man Wabula shani,Luhya
bro Habari yako rafiki man,Swahili
man Tutakutana kesho man,Swahili
yo Hii life ni tricky,Sheng
yo Uko aje buda,Sheng
bro We are learning NLP,English
hey Wacha tuende base,Sheng
Wacha tuende base bro,Sheng
Nakhubona khulayi,Luhya
I love programming boss,English
hey She likes reading books,English
hey He is my friend man,English
hey She likes reading books,English
She likes reading books boss,English
hey The weather is nice today,English
yo I love programming boss,English
yo This is a good day,English
man Nimechill na boys bro,Sheng
bro Tutakutana kesho man,Swahili
Basi manze relax,Sheng
hey Khukhala bulayi bro,Luhya
Niko soko leo bro,Swahili
bro Leo ni siku nzuri,Swahili
man Habari yako rafiki bro,Swahili
yo Niko soko leo man,Swahili
bro She likes reading books,English
hey This is a good day bro,English
yo We are learning NLP,English
The weather is nice today bro,English
yo Ndi khwitsa eshikulu,Luhya
hey Habari yako rafiki man,Swahili
hey Leo ni siku nzuri boss,Swahili
yo I love programming,English
Olaba otya,Luhya
man She likes reading books bro,English
man Basi manze relax bro,Sheng
Nimechoka leo boss,Swahili
bro Habari yako rafiki,Swahili
We are learning NLP man,English
hey Uko aje buda bro,Sheng
bro Hii manzi ni fiti man,Sheng
hey Nakhubona khulayi,Luhya
bro Wacha tuende base,Sheng
Tuko street vibaya,Sheng
hey Naenda nyumbani,Swahili
yo The weather is nice today boss,English
yo Habari yako rafiki man,Swahili
bro Niko rada leo,Sheng
hey Ninakupenda sana bro,Swahili
bro Hii manzi ni fiti boss,Sheng
Khukhala bulayi bro,Luhya
hey Naenda nyumbani,Swahili
hey Nimechill na boys bro,Sheng
man Wabula shani,Luhya
This is a good day boss,English
yo Olaba otya boss,Luhya
yo This is a good day man,English
bro This is a good day man,English
hey Nimechoka leo boss,Swahili
Habari yako rafiki,Swahili
hey Olaba otya,Luhya
hey Nimechill na boys bro,Sheng
yo Naenda nyumbani,Swahili
I am going home man,English
yo Nimechoka leo bro,Swahili
bro The weather is nice today,English
yo Tuko street vibaya boss,Sheng
hey Wacha tuende base boss,Sheng
yo Ndi khwitsa eshikulu boss,Luhya
yo Leo ni siku nzuri,Swahili
I love programming man,English
man Nimechill na boys man,Sheng
hey He is my friend bro,English
bro Basi manze relax,Sheng
yo This is a good day boss,English
Naenda nyumbani man,Swahili
bro Hii life ni tricky bro,Sheng
man The weather is nice today boss,English
man Nimechill na boys,Sheng
bro Ndi khwitsa eshikulu,Luhya
yo Nahitaji msaada wako,Swahili
yo Ndi khwitsa eshikulu boss,Luhya
yo Nakhubona khulayi,Luhya
bro Ndi khwitsa eshikulu,Luhya
yo Khukhala bulayi,Luhya
yo Tutakutana kesho,Swahili
yo Nakhubona khulayi boss,Luhya
This is a good day bro,English
man Nahitaji msaada wako,Swahili
yo He is my friend,English
bro Uko aje buda bro,Sheng
bro She likes reading books,English
Hii life ni tricky,Sheng
The weather is nice today,English
Khukhala bulayi man,Luhya
Olaba otya man,Luhya
Wabula shani man,Luhya
hey Nimechill na boys man,Sheng
Naenda nyumbani,Swahili
man Khukhala bulayi man,Luhya
hey The weather is nice today bro,English
hey Khukhala bulayi,Luhya
bro Nahitaji msaada wako man,Swahili
